iter	Passed	Remaining
357	3199	5737
358	3207	5726
359	3215	5716
360	3224	5707
361	3233	5698
362	3243	5691
363	3251	5681
364	3260	5672
365	3268	5661
366	3276	5652
367	3284	5641
368	3292	5630
369	3301	5621
370	3310	5612
371	3319	5603
372	3328	5594
373	3336	5584
374	3345	5575
375	3352	5564
376	3362	5557
377	3371	5547
378	3380	5539
379	3389	5530
380	3397	5520
381	3405	5509
382	3415	5501
383	3423	5491
384	3430	5479
385	3437	5467
386	3444	5455
387	3451	5443
388	3458	5432
389	3465	5420
390	3473	5410
391	3481	5399
392	3488	5388
393	3495	5376
394	3504	5368
395	3514	5360
396	3521	5348
397	3531	5340
398	3538	5329
399	3548	5322
400	3558	5314
401	3568	5307
402	3577	5299
403	3592	5300
404	3602	5293
405	3611	5283
406	3619	5274
407	3629	5266
408	3638	5257
409	3646	5247
410	3656	5240
411	3665	5231
412	3675	5223
413	3683	5213
414	3692	5205
415	3702	5198
416	3710	5188
417	3718	5177
418	3727	5169
419	3735	5158
420	3743	5148
421	3751	5138
422	3759	5128
423	3766	5116
424	3775	5108
425	3783	5097
426	3791	5087
427	3800	5078
428	3808	5069
429	3818	5061
430	3825	5050
431	3835	5042
432	3843	5032
433	3850	5022
434	3859	5012
435	3868	5004
436	3877	4995
437	3887	4988
438	3897	4980
439	3906	4972
440	3916	4964
441	3926	4956
442	3935	4948
443	3945	4941
444	3955	4932
445	3962	4922
446	3971	4913
447	3979	4903
448	3986	4891
449	3994	4882
450	4002	4871
451	4009	4861
452	4017	4851
453	4025	4840
454	4032	4830
455	4041	4821
456	4048	4810
457	4057	4801
458	4069	4796
459	4078	4787
460	4088	4780
461	4097	4771
462	4105	4762
463	4116	4755
464	4125	4746
465	4135	4738
466	4144	4730
467	4153	4720
468	4165	4715
469	4174	4707
470	4183	4699
471	4192	4689
472	4201	4680
473	4209	4671
474	4217	4661
475	4225	4651
476	4233	4641
477	4240	4631
478	4248	4620
479	4255	4610
480	4265	4602
481	4274	4593
482	4281	4582
483	4289	4572
484	4297	4563
485	4306	4554
486	4314	4544
487	4322	4534
488	4333	4528
489	4341	4518
490	4350	4510
491	4358	4500
492	4368	4492
493	4376	4483
494	4385	4474
495	4394	4465
496	4402	4455
497	4413	4448
498	4421	4438
499	4429	4429
500	4437	4419
501	4445	4409
502	4452	4399
503	4460	4389
504	4471	4382
505	4479	4373
506	4488	4364
507	4496	4354
508	4504	4344
509	4511	4334
510	4520	4325
511	4527	4315
512	4536	4306
513	4544	4297
514	4552	4287
515	4561	4278
516	4570	4270
517	4579	4261
518	4586	4251
519	4593	4240
520	4601	4230
521	4612	4223
522	4620	4214
523	4628	4204
524	4635	4194
525	4643	4184
526	4651	4174
527	4658	4164
528	4665	4154
529	4674	4145
530	4681	4134
531	4688	4124
532	4697	4115
533	4704	4105
534	4711	4095
535	4718	4085
536	4726	4074
537	4733	4064
538	4740	4054
539	4747	4044
540	4755	4034
541	4763	4025
542	4771	4015
543	4782	4008
544	4791	4000
545	4801	3992
546	4810	3983
547	4820	3975
548	4830	3968
549	4838	3958
550	4846	3949
551	4856	3941
552	4865	3933
553	4876	3925
554	4885	3917
555	4893	3907
556	4902	3898
557	4910	3889
558	4918	3880
559	4926	3870
560	4935	3862
561	4944	3853
562	4953	3844
563	4963	3837
564	4971	3827
565	4980	3818
566	4988	3809
567	4998	3801
568	5006	3792
569	5015	3783
570	5022	3773
571	5035	3767
572	5043	3758
573	5052	3749
574	5060	3740
575	5070	3732
576	5078	3722
577	5084	3712
578	5092	3703
579	5100	3693
580	5111	3686
581	5119	3676
582	5126	3667
583	5135	3657
584	5143	3648
585	5153	3640
586	5161	3631
587	5169	3622
588	5178	3613
589	5185	3603
590	5194	3594
591	5201	3584
592	5208	3574
593	5215	3565
594	5223	3555
595	5231	3546
596	5241	3538
597	5249	3528
598	5255	3518
599	5263	3508
600	5272	3500
601	5279	3490
602	5287	3481
603	5296	3472
604	5304	3463
605	5312	3454
606	5320	3444
607	5332	3437
608	5341	3429
609	5351	3421
610	5358	3411
611	5367	3402
612	5375	3393
613	5385	3385
614	5403	3382
615	5413	3374
616	5422	3365
617	5432	3357
618	5443	3350
619	5452	3341
620	5464	3334
621	5473	3326
622	5482	3317
623	5489	3307
624	5500	3300
625	5508	3291
626	5517	3282
627	5526	3273
628	5534	3264
629	5542	3255
630	5550	3246
631	5559	3237
632	5571	3230
633	5580	3221
634	5589	3212
635	5596	3203
636	5604	3194
637	5612	3184
638	5620	3175
639	5627	3165
640	5635	3156
641	5642	3146
642	5649	3136
643	5656	3126
644	5665	3118
645	5673	3109
646	5680	3099
647	5688	3089
648	5695	3080
649	5703	3070
650	5710	3061
651	5719	3052
652	5728	3044
653	5738	3035
654	5746	3026
655	5755	3017
656	5765	3009
657	5774	3001
658	5781	2991
659	5791	2983
660	5799	2974
661	5807	2965
662	5815	2956
663	5823	2947
664	5831	2937
665	5838	2928
666	5845	2918
667	5852	2908
668	5859	2899
669	5867	2890
670	5876	2881
671	5884	2872
672	5891	2862
673	5898	2852
674	5905	2843
675	5912	2833
676	5920	2824
677	5927	2815
678	5936	2806
679	5944	2797
680	5952	2788
681	5962	2780
682	5969	2770
683	5979	2762
684	5989	2754
685	6000	2746
686	6009	2737
687	6017	2728
688	6025	2719
689	6036	2712
690	6046	2703
691	6056	2695
692	6066	2687
693	6074	2678
694	6083	2669
695	6093	2661
696	6101	2652
697	6110	2643
698	6120	2635
699	6127	2626
700	6136	2617
701	6145	2608
702	6153	2599
703	6161	2590
704	6170	2581
705	6179	2573
706	6187	2564
707	6196	2555
708	6205	2546
709	6213	2538
710	6222	2529
711	6231	2520
712	6239	2511
713	6248	2502
714	6255	2493
715	6263	2484
716	6272	2475
717	6281	2466
718	6289	2458
719	6297	2449
720	6305	2439
721	6314	2431
722	6322	2422
723	6330	2413
724	6337	2403
725	6345	2395
726	6353	2385
727	6361	2376
728	6369	2367
729	6377	2358
730	6386	2350
731	6394	2341
732	6401	2331
733	6410	2323
734	6418	2314
735	6425	2304
736	6432	2295
737	6440	2286
738	6448	2277
739	6455	2268
740	6463	2259
741	6470	2249
742	6479	2241
743	6489	2232
744	6499	2224
745	6508	2215
746	6517	2207
747	6525	2198
748	6534	2189
749	6542	2180
750	6551	2172
751	6559	2163
752	6567	2154
753	6575	2145
754	6581	2135
755	6588	2126
756	6596	2117
757	6603	2108
758	6609	2098
759	6617	2089
760	6625	2080
761	6633	2072
762	6648	2065
763	6661	2057
764	6672	2049
765	6681	2041
766	6690	2032
767	6700	2023
768	6708	2015
769	6718	2006
770	6727	1998
771	6736	1989
772	6745	1981
773	6755	1972
774	6763	1963
775	6772	1954
776	6782	1946
777	6790	1937
778	6798	1928
779	6806	1919
780	6815	1911
781	6824	1902
782	6833	1893
783	6841	1884
784	6851	1876
785	6867	1869
786	6891	1865
787	6900	1856
788	6910	1848
789	6919	1839
790	6928	1830
791	6939	1822
792	6948	1813
793	6957	1805
794	6966	1796
795	6974	1787
796	6983	1778
797	6991	1769
798	6999	1760
799	7009	1752
800	7018	1743
801	7026	1734
802	7035	1726
803	7045	1717
804	7054	1708
805	7062	1699
806	7072	1691
807	7081	1682
808	7090	1674
809	7100	1665
810	7111	1657
811	7120	1648
812	7129	1639
813	7136	1630
814	7143	1621
815	7150	1612
816	7159	1603
817	7168	1594
818	7176	1586
819	7184	1577
820	7191	1568
821	7198	1558
822	7205	1549
823	7212	1540
824	7219	1531
825	7227	1522
826	7233	1513
827	7243	1504
828	7250	1495
829	7257	1486
830	7265	1477
831	7272	1468
832	7279	1459
833	7285	1450
834	7292	1440
835	7300	1432
836	7307	1423
837	7315	1414
838	7322	1405
839	7330	1396
840	7337	1387
841	7344	1378
842	7351	1369
843	7359	1360
844	7369	1351
845	7376	1342
846	7383	1333
847	7391	1324
848	7398	1315
849	7405	1306
850	7412	1297
851	7419	1288
852	7427	1279
853	7433	1270
854	7439	1261
855	7445	1252
856	7451	1243
857	7457	1234
858	7463	1225
859	7470	1216
860	7476	1207
861	7482	1197
862	7487	1188
863	7493	1179
864	7499	1170
865	7505	1161
866	7510	1152
867	7517	1143
868	7523	1134
869	7530	1125
870	7536	1116
871	7542	1107
872	7549	1098
873	7555	1089
874	7561	1080
875	7566	1071
876	7573	1062
877	7579	1053
878	7585	1044
879	7591	1035
880	7597	1026
881	7603	1017
882	7610	1008
883	7616	999
884	7622	990
885	7629	981
886	7636	972
887	7642	963
888	7648	954
889	7654	946
890	7661	937
891	7669	928
892	7676	919
893	7683	911
894	7689	902
895	7697	893
896	7704	884
897	7711	875
898	7718	867
899	7724	858
900	7731	849
901	7737	840
902	7746	832
903	7753	823
904	7760	814
905	7767	805
906	7774	797
907	7780	788
908	7786	779
909	7793	770
910	7799	761
911	7804	753
912	7811	744
913	7818	735
914	7823	726
915	7829	717
916	7835	709
917	7841	700
918	7847	691
919	7853	682
920	7861	674
921	7867	665
922	7873	656
923	7878	648
924	7885	639
925	7892	630
926	7898	622
927	7904	613
928	7910	604
929	7916	595
930	7922	587
931	7927	578
932	7933	569
933	7938	560
934	7944	552
935	7950	543
936	7957	535
937	7962	526
938	7968	517
939	7975	509
940	7981	500
941	7987	491
942	7993	483
943	8000	474
944	8008	466
945	8016	457
946	8024	449
947	8033	440
948	8041	432
949	8050	423
950	8059	415
951	8067	406
952	8075	398
953	8084	389
954	8092	381
955	8103	372
956	8118	364
957	8131	356
958	8148	348
959	8159	339
960	8169	331
961	8179	323
962	8197	314
963	8217	306
964	8234	298
965	8245	290
966	8257	281
967	8271	273
968	8279	264
969	8287	256
970	8293	247
971	8300	239
972	8306	230
973	8313	221
974	8318	213
975	8324	204
976	8330	196
977	8337	187
978	8343	178
979	8349	170
980	8355	161
981	8361	153
982	8368	144
983	8376	136
984	8383	127
985	8388	119
986	8395	110
987	8401	102
988	8407	93
989	8412	84
990	8419	76
991	8425	67
992	8431	59
993	8436	50
994	8443	42
995	8449	33
996	8456	25
997	8462	16
998	8469	8
999	8476	0
